StateCode,BeachID,BeachName,StationID,StationName,CountyName,Identifier,StartDate,StartTime,ZoneCode,ActivityTypeCode,CharacteristicName,ResultValue,ResultMeasureUnit,ResultComment,ActivityDepthValue,ActivityDepthUnitCode,SampleCollectionMethodIdentifier,SampleCollectionMethodName,FieldGear,AnalysisDateTime,DetectionQuantitationLimit
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,,,5/21/2013,11:31:00 AM,,Sample-Routine,Enterococcus,1,MPN/100ml,,0.3,m,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,,,5/21/2013,11:22:00 AM,,Sample-Routine,Enterococcus,1,MPN/100ml,,0.3,m,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,,,5/21/2013,11:41:00 AM,,Sample-Routine,Enterococcus,1,MPN/100ml,,0.3,m,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,,,5/21/2013,11:20:00 AM,,Sample-Routine,Enterococcus,1,MPN/100ml,,0.3,m,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,,,5/21/2013,11:49:00 AM,,Sample-Routine,Enterococcus,1,MPN/100ml,,0.3,m,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,,,5/21/2013,11:27:00 AM,,Sample-Routine,Enterococcus,1,MPN/100ml,,0.3,m,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,,,5/28/2013,10:42:00 AM,,Sample-Routine,Enterococcus,31,MPN/100ml,,0.3,m,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,,,5/28/2013,11:03:00 AM,,Sample-Routine,Enterococcus,1,MPN/100ml,,0.3,m,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,,,5/28/2013,10:57:00 AM,,Sample-Routine,Enterococcus,1,MPN/100ml,,0.3,m,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,,,5/28/2013,11:16:00 AM,,Sample-Routine,Enterococcus,1,MPN/100ml,,0.3,m,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,,,5/28/2013,11:16:00 AM,,Quality Control Sample-Field Replicate,Enterococcus,1,MPN/100ml,,0.3,m,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,,,5/28/2013,11:09:00 AM,,Sample-Routine,Enterococcus,1,MPN/100ml,,0.3,m,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,,,5/28/2013,10:43:00 AM,,Sample-Routine,Enterococcus,1,MPN/100ml,,0.3,m,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,,,6/3/2013,10:14:00 AM,,Sample-Routine,Enterococcus,20,MPN/100ml,,0.3,m,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,,,6/3/2013,10:14:00 AM,,Sample-Routine,Enterococcus,31,MPN/100ml,,0.3,m,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,,,6/3/2013,10:28:00 AM,,Sample-Routine,Enterococcus,42,MPN/100ml,,0.3,m,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,,,6/3/2013,10:24:00 AM,,Sample-Routine,Enterococcus,75,MPN/100ml,,0.3,m,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,,,6/3/2013,10:40:00 AM,,Sample-Routine,Enterococcus,1,MPN/100ml,,0.3,m,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,,,6/3/2013,10:32:00 AM,,Sample-Routine,Enterococcus,1,MPN/100ml,,0.3,m,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,,,6/10/2013,9:45:00 AM,,Sample-Routine,Enterococcus,10,MPN/100ml,,0.3,m,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,,,6/10/2013,9:55:00 AM,,Sample-Routine,Enterococcus,10,MPN/100ml,,0.3,m,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,,,6/10/2013,10:10:00 AM,,Sample-Routine,Enterococcus,10,MPN/100ml,,0.3,m,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,,,6/10/2013,9:47:00 AM,,Sample-Routine,Enterococcus,160,MPN/100ml,,0.3,m,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,,,6/10/2013,10:04:00 AM,,Sample-Routine,Enterococcus,1,MPN/100ml,,0.3,m,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,,,6/10/2013,10:04:00 AM,,Quality Control Sample-Field Replicate,Enterococcus,1,MPN/100ml,,0.3,m,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,,,6/10/2013,10:16:00 AM,,Sample-Routine,Enterococcus,1,MPN/100ml,,0.3,m,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,,,6/17/2013,10:13:00 AM,,Sample-Routine,Enterococcus,53,MPN/100ml,,0.3,m,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,,,6/17/2013,10:23:00 AM,,Sample-Routine,Enterococcus,1,MPN/100ml,,0.3,m,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,,,6/17/2013,10:13:00 AM,,Sample-Routine,Enterococcus,1,MPN/100ml,,0.3,m,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,,,6/17/2013,10:38:00 AM,,Sample-Routine,Enterococcus,1,MPN/100ml,,0.3,m,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,,,6/17/2013,10:30:00 AM,,Sample-Routine,Enterococcus,1,MPN/100ml,,0.3,m,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,,,6/17/2013,10:38:00 AM,,Quality Control Sample-Field Replicate,Enterococcus,1,MPN/100ml,,0.3,m,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,,,6/17/2013,10:47:00 AM,,Sample-Routine,Enterococcus,1,MPN/100ml,,0.3,m,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,,,6/24/2013,10:22:00 AM,,Sample-Routine,Enterococcus,10,MPN/100ml,,0.3,m,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,,,6/24/2013,10:32:00 AM,,Sample-Routine,Enterococcus,20,MPN/100ml,,0.3,m,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,,,6/24/2013,10:22:00 AM,,Quality Control Sample-Field Replicate,Enterococcus,1,MPN/100ml,,0.3,m,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,,,6/24/2013,10:46:00 AM,,Sample-Routine,Enterococcus,1,MPN/100ml,,0.3,m,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,,,6/24/2013,10:24:00 AM,,Sample-Routine,Enterococcus,1,MPN/100ml,,0.3,m,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,,,6/24/2013,10:54:00 AM,,Sample-Routine,Enterococcus,1,MPN/100ml,,0.3,m,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,,,6/24/2013,10:36:00 AM,,Sample-Routine,Enterococcus,1,MPN/100ml,,0.3,m,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,,,7/1/2013,10:08:00 AM,,Sample-Routine,Enterococcus,140,MPN/100ml,,0.3,m,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,,,7/1/2013,10:42:00 AM,,Sample-Routine,Enterococcus,1,MPN/100ml,,0.3,m,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,,,7/1/2013,10:25:00 AM,,Sample-Routine,Enterococcus,1,MPN/100ml,,0.3,m,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,,,7/1/2013,10:32:00 AM,,Sample-Routine,Enterococcus,1,MPN/100ml,,0.3,m,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,,,7/1/2013,10:20:00 AM,,Sample-Routine,Enterococcus,1,MPN/100ml,,0.3,m,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,,,7/1/2013,10:06:00 AM,,Sample-Routine,Enterococcus,1,MPN/100ml,,0.3,m,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,,,7/8/2013,10:02:00 AM,,Sample-Routine,Enterococcus,10,MPN/100ml,,0.3,m,,,,,
CT,CT964700,HAMMONASSET BEACH STATE PARK BEACH,,,,,7/8/2013,9:48:00 AM,,Sample-Routine,Enterococcus,10,MPN/100ml,,0.3,m,,,,,
