State,County,BeachID,BeachName,OwnAccess ,BeachLength,BeachTier,StartLatitude,StartLongitude,EndLatitude,EndLongitude
CT,FAIRFIELD,CT003939,CALF PASTURE BEACH,Public/Public,0.201,2,41.08636,-73.39214,41.08367,-73.39256
CT,FAIRFIELD,CT010924,HICKORY BLUFF BEACH,Public/Public,0.001,1,41.07892,-73.42047,41.07894,-73.4205
CT,FAIRFIELD,CT022992,SHADY BEACH,Public/Public,0.212,2,41.08908,-73.39042,41.08636,-73.39214
CT,FAIRFIELD,CT023928,MARVIN BEACH,Public/Public,0.004,1,41.09192,-73.40086,41.09197,-73.40092
CT,FAIRFIELD,CT046814,SHORT BEACH,Public/Public,0.478,2,41.16525,-73.10842,41.15869,-73.11047
CT,FAIRFIELD,CT080788,PENFIELD BEACH,Public/Public,0.208,1,41.13597,-73.24014,41.13311,-73.24128
CT,FAIRFIELD,CT085278,EAST (COVE ISLAND) BEACH,Public/Public,0.18,2,41.04714,-73.49692,41.04648,-73.50004
CT,FAIRFIELD,CT096148,GREAT CAPTAIN'S ISLAND BEACH,Public/Public,0.222,1,40.98239,-73.62633,40.98125,-73.62944
CT,FAIRFIELD,CT101236,ISLAND BEACH,Public/Public,0.181,1,40.98856,-73.61272,40.98903,-73.61042
CT,FAIRFIELD,CT135112,COMPO BEACH,Public/Public,0.536,2,41.10781,-73.34719,41.10222,-73.35319
CT,FAIRFIELD,CT200291,ROWAYTON BEACH,Public/Public,0.021,1,41.06211,-73.43492,41.06186,-73.43503
CT,FAIRFIELD,CT200292,BELL ISLAND BEACH,Public/Public,0.124,1,41.05703,-73.43547,41.05714,-73.43772
CT,FAIRFIELD,CT202901,QUIGLEY BEACH,Public/Public,0.099,2,41.04425,-73.50162,41.04327,-73.50293
CT,FAIRFIELD,CT299970,SHERWOOD ISLAND STATE PARK BEACH,Public/Public,1.187,1,41.11528,-73.32031,41.11203,-73.33922
CT,FAIRFIELD,CT306507,JENNINGS BEACH,Public/Public,0.393,1,41.14297,-73.23394,41.13839,-73.23839
CT,FAIRFIELD,CT404927,SEASIDE PARK BEACH,Public/Public,1.802,1,41.16058,-73.19,41.14725,-73.21594
CT,FAIRFIELD,CT428598,SOUTH PINE CREEK BEACH,Public/Public,0.03,1,41.12089,-73.27047,41.12092,-73.27108
CT,FAIRFIELD,CT449733,LONG BEACH (MARNICK'S),Public/Public,0.037,2,41.1475,-73.12936,41.1475,-73.13006
CT,FAIRFIELD,CT474040,SOUTHPORT BEACH,Public/Public,0.158,1,41.12633,-73.29531,41.12486,-73.29756
CT,FAIRFIELD,CT486090,GREENWICH POINT BEACH,Public/Public,0.403,1,41.00978,-73.56942,41.00425,-73.57136
CT,FAIRFIELD,CT634478,SASCO BEACH,Public/Public,0.127,1,41.12458,-73.27722,41.12528,-73.27944
CT,FAIRFIELD,CT728213,CUMMINGS BEACH,Public/Public,0.257,2,41.0396,-73.51667,41.03858,-73.52064
CT,FAIRFIELD,CT730976,BURYING HILL BEACH,Public/Public,0.078,2,41.11606,-73.31814,41.1155,-73.31922
CT,FAIRFIELD,CT872506,BYRAM BEACH,Public/Public,0.105,3,41.00539,-73.64436,41.00403,-73.64511
CT,FAIRFIELD,CT921236,LONG BEACH (PROPER),Public/Public,0.31,2,41.14892,-73.13786,41.15103,-73.14292
CT,FAIRFIELD,CT927883,PEAR TREE POINT BEACH,Public/Public,0.2,2,41.04447,-73.48261,41.0461,-73.48333
CT,FAIRFIELD,CT952269,WEED BEACH,Public/Public,0.093,2,41.04608,-73.492,41.04647,-73.49369
CT,FAIRFIELD,CT992639,WEST BEACH,Public/Public,0.149,3,41.03839,-73.52161,41.03655,-73.5227
CT,MIDDLESEX,CT104947,TOWN BEACH (CLINTON),Public/Public,0.086,1,41.26783,-72.51989,41.26892,-72.52047
CT,MIDDLESEX,CT221030,MIDDLE BEACH/STANNARD BEACH,Public/Public,0.048,3,41.27861,-72.44222,41.27886,-72.44306
CT,MIDDLESEX,CT766006,HARVEY'S BEACH,Public/Public,0.046,1,41.27344,-72.39508,41.27378,-72.39561
CT,MIDDLESEX,CT939211,WESTBROOK TOWN BEACH/WEST BEACH,Public/Public,0.544,3,41.27856,-72.45439,41.27408,-72.46267
CT,MIDDLESEX,CT996337,TOWN BEACH (OLD SAYBROOK),Public/Public,0.035,1,41.26872,-72.39303,41.26919,-72.39325
CT,NEW HAVEN,CT001209,BRANFORD POINT BEACH,Public/Public,0.085,1,41.26128,-72.82119,41.26192,-72.82236
CT,NEW HAVEN,CT091682,EAST HAVEN TOWN BEACH,Public/Public,0.16,1,41.24536,-72.86719,41.24514,-72.87006
CT,NEW HAVEN,CT112011,SEAVIEW BEACH,Public/Public,0.109,1,41.2449,-72.96758,41.24372,-72.969
CT,NEW HAVEN,CT128305,SOUTH STREET BEACH,Public/Public,0.045,1,41.24145,-72.97035,41.24082,-72.97025
CT,NEW HAVEN,CT143225,OAK STREET A BEACH,Public/Public,0.083,1,41.25587,-72.95078,41.25537,-72.95213
CT,NEW HAVEN,CT153336,EAST WHARF BEACH,Public/Public,0.073,1,41.27056,-72.59,41.27017,-72.59097
CT,NEW HAVEN,CT210340,WEST WHARF BEACH,Public/Public,0.096,1,41.2705,-72.60789,41.27042,-72.60917
CT,NEW HAVEN,CT222176,SILVER SANDS STATE PARK BEACH,Public/Public,0.173,1,41.20008,-73.06439,41.19783,-73.06575
CT,NEW HAVEN,CT224775,STONY CREEK BEACH,Public/Public,0.022,1,41.26592,-72.752,41.26622,-72.752
CT,NEW HAVEN,CT261657,DAWSON BEACH,Public/Public,0.113,1,41.2468,-72.96388,41.2459,-72.96583
CT,NEW HAVEN,CT303093,JACOBS BEACH (TOWN BEACH),Public/Public,0.086,2,41.26839,-72.66733,41.26767,-72.66836
CT,NEW HAVEN,CT320303,PENT ROAD BEACH,Public/Public,0.062,1,41.26858,-72.56983,41.26844,-72.57083
CT,NEW HAVEN,CT351834,WOODMONT BEACH,Public/Public,0.289,1,41.22989,-72.98853,41.22617,-72.99083
CT,NEW HAVEN,CT386314,SURF CLUB BEACH,Public/Public,0.205,1,41.27189,-72.61386,41.27203,-72.61767
CT,NEW HAVEN,CT400424,ANCHOR BEACH (MERWIN POINT) #2,Public/Public,0.109,1,41.22344,-72.99292,41.22317,-72.99478
