StateCode,BeachID,BeachName,StationID,StationName,CountyName,Identifier,StartDate,StartTime,ZoneCode,ActivityTypeCode,CharacteristicName,ResultValue,ResultMeasureUnit,ResultComment,ActivityDepthValue,ActivityDepthUnitCode,SampleCollectionMethodIdentifier,SampleCollectionMethodName,FieldGear,AnalysisDateTime,DetectionQuantitationLimit
CT,CT096148,GREAT CAPTAIN'S ISLAND BEACH,100,,FAIRFIELD,,2015-09-08 08:25:00,00:00:00,,54184,Enterococcus,20,,,,,,,,,
CT,CT096148,GREAT CAPTAIN'S ISLAND BEACH,100,,FAIRFIELD,,2015-06-23 10:00:00,00:00:00,,53641,Enterococcus,150,,,,,,,,,
CT,CT096148,GREAT CAPTAIN'S ISLAND BEACH,100,,FAIRFIELD,,2015-08-24 09:45:00,00:00:00,,54131,Enterococcus,0,,,,,,,,,Lower Quantitation Limit~10~MPN/100ml
CT,CT096148,GREAT CAPTAIN'S ISLAND BEACH,100,,FAIRFIELD,,2015-08-17 09:30:00,00:00:00,,54087,Enterococcus,0,,,,,,,,,Lower Quantitation Limit~10~MPN/100ml
CT,CT096148,GREAT CAPTAIN'S ISLAND BEACH,100,,FAIRFIELD,,2015-08-10 08:55:00,00:00:00,,54053,Enterococcus,0,,,,,,,,,Lower Quantitation Limit~10~MPN/100ml
CT,CT096148,GREAT CAPTAIN'S ISLAND BEACH,100,,FAIRFIELD,,2015-08-03 09:40:00,00:00:00,,53987,Enterococcus,0,,,,,,,,,Lower Quantitation Limit~10~MPN/100ml
CT,CT096148,GREAT CAPTAIN'S ISLAND BEACH,100,,FAIRFIELD,,2015-08-31 10:00:00,00:00:00,,54150,Enterococcus,0,,,,,,,,,Lower Quantitation Limit~10~MPN/100ml
CT,CT096148,GREAT CAPTAIN'S ISLAND BEACH,100,,FAIRFIELD,,2015-07-27 09:00:00,00:00:00,,53936,Enterococcus,0,,,,,,,,,Lower Quantitation Limit~10~MPN/100ml
CT,CT096148,GREAT CAPTAIN'S ISLAND BEACH,100,,FAIRFIELD,,2015-07-20 09:50:00,00:00:00,,53870,Enterococcus,0,,,,,,,,,Lower Quantitation Limit~10~MPN/100ml
CT,CT096148,GREAT CAPTAIN'S ISLAND BEACH,100,,FAIRFIELD,,2015-07-13 08:55:00,00:00:00,,53797,Enterococcus,0,,,,,,,,,Lower Quantitation Limit~10~MPN/100ml
CT,CT096148,GREAT CAPTAIN'S ISLAND BEACH,100,,FAIRFIELD,,2015-06-08 08:00:00,00:00:00,,53553,Enterococcus,0,,,,,,,,,Lower Quantitation Limit~10~MPN/100ml
CT,CT096148,GREAT CAPTAIN'S ISLAND BEACH,100,,FAIRFIELD,,2015-07-06 09:50:00,00:00:00,,53723,Enterococcus,0,,,,,,,,,Lower Quantitation Limit~10~MPN/100ml
CT,CT096148,GREAT CAPTAIN'S ISLAND BEACH,100,,FAIRFIELD,,2015-06-30 06:10:00,00:00:00,,53692,Enterococcus,0,,,,,,,,,Lower Quantitation Limit~10~MPN/100ml
CT,CT096148,GREAT CAPTAIN'S ISLAND BEACH,100,,FAIRFIELD,,2015-06-15 09:30:00,00:00:00,,53589,Enterococcus,0,,,,,,,,,Lower Quantitation Limit~10~MPN/100ml
CT,CT096148,GREAT CAPTAIN'S ISLAND BEACH,200,,FAIRFIELD,,2015-06-23 10:05:00,00:00:00,,53642,Enterococcus,64,,,,,,,,,
CT,CT096148,GREAT CAPTAIN'S ISLAND BEACH,200,,FAIRFIELD,,2015-07-13 08:35:00,00:00:00,,53800,Enterococcus,99,,,,,,,,,
