StateCode,BeachID,BeachName,StationID,StationName,CountyName,Identifier,StartDate,StartTime,ZoneCode,ActivityTypeCode,CharacteristicName,ResultValue,ResultMeasureUnit,ResultComment,ActivityDepthValue,ActivityDepthUnitCode,SampleCollectionMethodIdentifier,SampleCollectionMethodName,FieldGear,AnalysisDateTime,DetectionQuantitationLimit
NY,NY255483,HAY HARBOR CLUB,1,,SUFFOLK,USEPA~1600,2009-08-01 00:00:00,12:00:00 AM,,HOB09-20,Enterococcus,8,#/100ml,,,,,,Water Bottle,,
NY,NY255483,HAY HARBOR CLUB,1,,SUFFOLK,USEPA~1600,2009-08-17 00:00:00,12:00:00 AM,,HOB09-25,Enterococcus,8,#/100ml,,,,,,Water Bottle,,
NY,NY255483,HAY HARBOR CLUB,1,,SUFFOLK,USEPA~1600,2009-08-22 00:00:00,12:00:00 AM,,HOB09-28,Enterococcus,24,#/100ml,,,,,,Water Bottle,,
NY,NY255483,HAY HARBOR CLUB,1,,SUFFOLK,USEPA~1600,2009-07-30 00:00:00,12:00:00 AM,,HOB09-19,Enterococcus,348,#/100ml,,,,,,Water Bottle,,
NY,NY255483,HAY HARBOR CLUB,1,,SUFFOLK,USEPA~1600,2009-07-22 00:00:00,12:00:00 AM,,HOB09-17,Enterococcus,16,#/100ml,,,,,,Water Bottle,,
NY,NY255483,HAY HARBOR CLUB,1,,SUFFOLK,USEPA~1600,2009-08-27 00:00:00,12:00:00 AM,,HOB09-30,Enterococcus,28,#/100ml,,,,,,Water Bottle,,
NY,NY255483,HAY HARBOR CLUB,1,,SUFFOLK,USEPA~1600,2009-08-05 00:00:00,12:00:00 AM,,HAY09-01,Enterococcus,10,#/100ml,,,,,,Water Bottle,,
NY,NY255483,HAY HARBOR CLUB,1,,SUFFOLK,USEPA~1600,2009-06-17 00:00:00,12:00:00 AM,,HOB09-07,Enterococcus,4,#/100ml,,,,,,Water Bottle,,
NY,NY255483,HAY HARBOR CLUB,1,,SUFFOLK,USEPA~1600,2009-08-25 00:00:00,12:00:00 AM,,HOB09-29,Enterococcus,8,#/100ml,,,,,,Water Bottle,,
NY,NY255483,HAY HARBOR CLUB,1,,SUFFOLK,USEPA~1600,2009-06-19 00:00:00,12:00:00 AM,,HOB09-08,Enterococcus,8,#/100ml,,,,,,Water Bottle,,
NY,NY255483,HAY HARBOR CLUB,1,,SUFFOLK,USEPA~1600,2009-07-01 00:00:00,12:00:00 AM,,HOB09-11,Enterococcus,8,#/100ml,,,,,,Water Bottle,,
NY,NY255483,HAY HARBOR CLUB,1,,SUFFOLK,USEPA~1600,2009-06-08 00:00:00,12:00:00 AM,,HOB09-04,Enterococcus,4,#/100ml,,,,,,Water Bottle,,
NY,NY255483,HAY HARBOR CLUB,1,,SUFFOLK,USEPA~1600,2009-08-07 00:00:00,12:00:00 AM,,HOB09-23,Enterococcus,16,#/100ml,,,,,,Water Bottle,,
NY,NY255483,HAY HARBOR CLUB,1,,SUFFOLK,USEPA~1600,2009-08-05 00:00:00,12:00:00 AM,,HOB09-22,Enterococcus,52,#/100ml,,,,,,Water Bottle,,
NY,NY255483,HAY HARBOR CLUB,1,,SUFFOLK,USEPA~1600,2009-08-03 00:00:00,12:00:00 AM,,HOB09-21,Enterococcus,136,#/100ml,,,,,,Water Bottle,,
NY,NY255483,HAY HARBOR CLUB,1,,SUFFOLK,USEPA~1600,2009-07-24 00:00:00,12:00:00 AM,,HOB09-18,Enterococcus,68,#/100ml,,,,,,Water Bottle,,
NY,NY255483,HAY HARBOR CLUB,1,,SUFFOLK,USEPA~1600,2009-06-23 00:00:00,12:00:00 AM,,HOB09-09,Enterococcus,72,#/100ml,,,,,,Water Bottle,,
NY,NY255483,HAY HARBOR CLUB,1,,SUFFOLK,USEPA~1600,2009-08-25 00:00:00,12:00:00 AM,,HAY09-02,Enterococcus,4,#/100ml,,,,,,Water Bottle,,
NY,NY255483,HAY HARBOR CLUB,1,,SUFFOLK,USEPA~1600,2009-06-11 00:00:00,12:00:00 AM,,HOB09-05,Enterococcus,36,#/100ml,,,,,,Water Bottle,,
NY,NY255483,HAY HARBOR CLUB,1,,SUFFOLK,USEPA~1600,2009-06-01 00:00:00,12:00:00 AM,,HOB09-02,Enterococcus,4,#/100ml,,,,,,Water Bottle,,
NY,NY255483,HAY HARBOR CLUB,1,,SUFFOLK,USEPA~1600,2005-07-13 00:00:00,12:00:00 AM,,NY255483-01_2005-07-13HHC-01,Enterococcus,4,#/100ml,,,,,,Water Sampler (Other),,
NY,NY255483,HAY HARBOR CLUB,1,,SUFFOLK,USEPA~1600,2009-09-02 00:00:00,12:00:00 AM,,HOB09-32,Enterococcus,56,#/100ml,,,,,,Water Bottle,,
NY,NY255483,HAY HARBOR CLUB,1,,SUFFOLK,USEPA~1600,2009-09-04 00:00:00,12:00:00 AM,,HOB09-33,Enterococcus,12,#/100ml,,,,,,Water Bottle,,
NY,NY255483,HAY HARBOR CLUB,1,,SUFFOLK,USEPA~1600,2009-07-08 00:00:00,12:00:00 AM,,HOB09-13,Enterococcus,12,#/100ml,,,,,,Water Bottle,,
NY,NY255483,HAY HARBOR CLUB,1,,SUFFOLK,USEPA~1600,2009-08-31 00:00:00,12:00:00 AM,,HOB09-31,Enterococcus,28,#/100ml,,,,,,Water Bottle,,
