"State","County","BeachID","Beach Name","Weather Station ID"
"CT","FAIRFIELD","CT003939","CALF PASTURE BEACH","KBDR"
"CT","FAIRFIELD","CT010924","HICKORY BLUFF BEACH","KHPN"
"CT","FAIRFIELD","CT022992","SHADY BEACH","KBDR"
"CT","FAIRFIELD","CT023928","MARVIN BEACH","KHPN"
"CT","FAIRFIELD","CT046814","SHORT BEACH","KBDR"
"CT","FAIRFIELD","CT080788","PENFIELD BEACH","KBDR"
"CT","FAIRFIELD","CT085278","EAST (COVE ISLAND) BEACH","KHPN"
"CT","FAIRFIELD","CT096148","GREAT CAPTAIN'S ISLAND BEACH","KHPN"
"CT","FAIRFIELD","CT101236","ISLAND BEACH","KHPN"
"CT","FAIRFIELD","CT135112","COMPO BEACH","KBDR"
"CT","FAIRFIELD","CT200291","ROWAYTON BEACH","KHPN"
"CT","FAIRFIELD","CT200292","BELL ISLAND BEACH","KHPN"
"CT","FAIRFIELD","CT202901","QUIGLEY BEACH","KHPN"
"CT","FAIRFIELD","CT299970","SHERWOOD ISLAND STATE PARK BEACH","KBDR"
"CT","FAIRFIELD","CT306507","JENNINGS BEACH","KBDR"
"CT","FAIRFIELD","CT404927","SEASIDE PARK BEACH","KBDR"
"CT","FAIRFIELD","CT428598","SOUTH PINE CREEK BEACH","KBDR"
"CT","FAIRFIELD","CT449733","LONG BEACH (MARNICK'S)","KBDR"
"CT","FAIRFIELD","CT474040","SOUTHPORT BEACH","KBDR"
"CT","FAIRFIELD","CT486090","GREENWICH POINT BEACH","KHPN"
"CT","FAIRFIELD","CT634478","SASCO BEACH","KBDR"
"CT","FAIRFIELD","CT728213","CUMMINGS BEACH","KHPN"
"CT","FAIRFIELD","CT730976","BURYING HILL BEACH","KBDR"
"CT","FAIRFIELD","CT872506","BYRAM BEACH","KHPN"
"CT","FAIRFIELD","CT921236","LONG BEACH (PROPER)","KBDR"
"CT","FAIRFIELD","CT927883","PEAR TREE POINT BEACH","KHPN"
"CT","FAIRFIELD","CT952269","WEED BEACH","KHPN"
"CT","FAIRFIELD","CT992639","WEST BEACH","KHPN"
"CT","MIDDLESEX","CT104947","TOWN BEACH (CLINTON)","KSNC"
"CT","MIDDLESEX","CT221030","MIDDLE BEACH/STANNARD BEACH","KSNC"
"CT","MIDDLESEX","CT766006","HARVEY'S BEACH","KSNC"
"CT","MIDDLESEX","CT939211","WESTBROOK TOWN BEACH/WEST BEACH","KSNC"
"CT","MIDDLESEX","CT996337","TOWN BEACH (OLD SAYBROOK)","KSNC"
"CT","NEW HAVEN","CT001209","BRANFORD POINT BEACH","KHVN"
"CT","NEW HAVEN","CT091682","EAST HAVEN TOWN BEACH","KHVN"
"CT","NEW HAVEN","CT112011","SEAVIEW BEACH","KHVN"
"CT","NEW HAVEN","CT128305","SOUTH STREET BEACH","KHVN"
"CT","NEW HAVEN","CT143225","OAK STREET A BEACH","KHVN"
"CT","NEW HAVEN","CT153336","EAST WHARF BEACH","KSNC"
"CT","NEW HAVEN","CT210340","WEST WHARF BEACH","KSNC"
"CT","NEW HAVEN","CT222176","SILVER SANDS STATE PARK BEACH","KBDR"
"CT","NEW HAVEN","CT224775","STONY CREEK BEACH","KHVN"
"CT","NEW HAVEN","CT261657","DAWSON BEACH","KHVN"
"CT","NEW HAVEN","CT303093","JACOBS BEACH (TOWN BEACH)","KSNC"
"CT","NEW HAVEN","CT320303","PENT ROAD BEACH","KSNC"
"CT","NEW HAVEN","CT351834","WOODMONT BEACH","KHVN"
"CT","NEW HAVEN","CT386314","SURF CLUB BEACH","KSNC"
"CT","NEW HAVEN","CT400424","ANCHOR BEACH (MERWIN POINT) #2","KHVN"
"CT","NEW HAVEN","CT409818","CLARK AVENUE BEACH","KHVN"
"CT","NEW HAVEN","CT473427","ALTSCHULER BEACH","KHVN"
"CT","NEW HAVEN","CT555601","MORSE BEACH","KHVN"
"CT","NEW HAVEN","CT597147","SEABLUFF BEACH","KHVN"
"CT","NEW HAVEN","CT760987","LIGHTHOUSE POINT BEACH","KHVN"
"CT","NEW HAVEN","CT816057","OAK STREET B BEACH","KHVN"
"CT","NEW HAVEN","CT857174","WALNUT BEACH","KBDR"
