"SiteID","Site Name","State","County","Total Number of Passing Samples","Number of Samples","Percent Pass All Samples","Grade All Samples","Dry Weather Passing Samples","Total Dry Weather Samples","Percent Pass Dry Samples","Grade Dry Samples","Wet Weather Passing Samples","Total Wet Weather Samples","Percent Pass Wet Samples","Grade Wet Samples"
"CT003939","CALF PASTURE BEACH","CT","FAIRFIELD","243","276","88.04","C+","145","164","88.41","C+","98","112","87.5","C+"
"CT010924","HICKORY BLUFF BEACH","CT","FAIRFIELD","73","76","96.05","A-","46","47","97.87","A","27","29","93.1","B+"
"CT022992","SHADY BEACH","CT","FAIRFIELD","307","360","85.28","C","179","212","84.43","C-","128","148","86.49","C"
"CT023928","MARVIN BEACH","CT","FAIRFIELD","75","85","88.24","C+","46","51","90.2","B-","29","34","85.29","C"
"CT046814","SHORT BEACH","CT","FAIRFIELD","208","234","88.89","C+","131","142","92.25","B","77","92","83.7","C-"
"CT080788","PENFIELD BEACH","CT","FAIRFIELD","152","166","91.57","B","99","106","93.4","B+","53","60","88.33","C+"
"CT085278","EAST (COVE ISLAND) BEACH","CT","FAIRFIELD","229","236","97.03","A","157","158","99.37","A+","72","78","92.31","B"
"CT096148","GREAT CAPTAIN'S ISLAND BEACH","CT","FAIRFIELD","109","114","95.61","A-","71","74","95.95","A-","38","40","95.0","A-"
"CT101236","ISLAND BEACH","CT","FAIRFIELD","110","120","91.67","B","75","80","93.75","B+","35","40","87.5","C+"
"CT135112","COMPO BEACH","CT","FAIRFIELD","236","262","90.08","B-","142","153","92.81","B","94","109","86.24","C"
"CT200291","ROWAYTON BEACH","CT","FAIRFIELD","73","77","94.81","B+","46","47","97.87","A","27","30","90.0","B-"
"CT200292","BELL ISLAND BEACH","CT","FAIRFIELD","145","151","96.03","A-","90","93","96.77","A-","55","58","94.83","B+"
"CT202901","QUIGLEY BEACH","CT","FAIRFIELD","77","79","97.47","A","52","53","98.11","A","25","26","96.15","A-"
"CT299970","SHERWOOD ISLAND STATE PARK BEACH","CT","FAIRFIELD","0","0","","","0","0","","","0","0","",""
"CT306507","JENNINGS BEACH","CT","FAIRFIELD","150","167","89.82","B-","95","103","92.23","B","55","64","85.94","C"
"CT404927","SEASIDE PARK BEACH","CT","FAIRFIELD","310","333","93.09","B+","210","221","95.02","A-","100","112","89.29","B-"
"CT428598","SOUTH PINE CREEK BEACH","CT","FAIRFIELD","77","82","93.9","B+","49","51","96.08","A-","28","31","90.32","B-"
"CT449733","LONG BEACH (MARNICK'S)","CT","FAIRFIELD","68","75","90.67","B-","43","45","95.56","A-","25","30","83.33","C-"
"CT474040","SOUTHPORT BEACH","CT","FAIRFIELD","152","164","92.68","B","97","101","96.04","A-","55","63","87.3","C+"
"CT486090","GREENWICH POINT BEACH","CT","FAIRFIELD","187","194","96.39","A-","130","135","96.3","A-","57","59","96.61","A-"
"CT634478","SASCO BEACH","CT","FAIRFIELD","152","163","93.25","B+","95","100","95.0","A-","57","63","90.48","B-"
"CT728213","CUMMINGS BEACH","CT","FAIRFIELD","234","240","97.5","A","159","161","98.76","A","75","79","94.94","B+"
"CT730976","BURYING HILL BEACH","CT","FAIRFIELD","59","64","92.19","B","36","38","94.74","B+","23","26","88.46","C+"
"CT872506","BYRAM BEACH","CT","FAIRFIELD","186","222","83.78","C-","124","146","84.93","C-","62","76","81.58","D+"
"CT921236","LONG BEACH (PROPER)","CT","FAIRFIELD","135","146","92.47","B","86","92","93.48","B+","49","54","90.74","B-"
"CT927883","PEAR TREE POINT BEACH","CT","FAIRFIELD","232","271","85.61","C","168","180","93.33","B+","64","91","70.33","F"
"CT952269","WEED BEACH","CT","FAIRFIELD","154","176","87.5","C+","109","116","93.97","B+","45","60","75.0","F"
"CT992639","WEST BEACH","CT","FAIRFIELD","232","256","90.63","B-","161","167","96.41","A-","71","89","79.78","D"
"CT104947","TOWN BEACH (CLINTON)","CT","MIDDLESEX","62","74","83.78","C-","39","41","95.12","A-","23","33","69.7","F"
"CT221030","MIDDLE BEACH/STANNARD BEACH","CT","MIDDLESEX","28","32","87.5","C+","20","22","90.91","B-","8","10","80.0","D"
"CT766006","HARVEY'S BEACH","CT","MIDDLESEX","66","71","92.96","B","38","41","92.68","B","28","30","93.33","B+"
"CT939211","WESTBROOK TOWN BEACH/WEST BEACH","CT","MIDDLESEX","84","91","92.31","B","53","58","91.38","B","31","33","93.94","B+"
"CT996337","TOWN BEACH (OLD SAYBROOK)","CT","MIDDLESEX","70","71","98.59","A","40","41","97.56","A","30","30","100.0","A+"
"CT001209","BRANFORD POINT BEACH","CT","NEW HAVEN","0","0","","","0","0","","","0","0","",""
"CT091682","EAST HAVEN TOWN BEACH","CT","NEW HAVEN","162","175","92.57","B","112","117","95.73","A-","50","58","86.21","C"
"CT112011","SEAVIEW BEACH","CT","NEW HAVEN","100","116","86.21","C","73","79","92.41","B","27","37","72.97","F"
"CT128305","SOUTH STREET BEACH","CT","NEW HAVEN","83","94","88.3","C+","55","63","87.3","C+","28","31","90.32","B-"
"CT143225","OAK STREET A BEACH","CT","NEW HAVEN","101","113","89.38","B-","71","78","91.03","B","30","35","85.71","C"
"CT153336","EAST WHARF BEACH","CT","NEW HAVEN","71","72","98.61","A","41","41","100.0","A+","30","31","96.77","A-"
"CT210340","WEST WHARF BEACH","CT","NEW HAVEN","69","72","95.83","A-","40","41","97.56","A","29","31","93.55","B+"
"CT222176","SILVER SANDS STATE PARK BEACH","CT","NEW HAVEN","0","0","","","0","0","","","0","0","",""
"CT224775","STONY CREEK BEACH","CT","NEW HAVEN","76","80","95.0","A-","54","56","96.43","A-","22","24","91.67","B"
"CT261657","DAWSON BEACH","CT","NEW HAVEN","104","119","87.39","C+","76","81","93.83","B+","28","38","73.68","F"
"CT303093","JACOBS BEACH (TOWN BEACH)","CT","NEW HAVEN","199","223","89.24","B-","123","133","92.48","B","76","90","84.44","C-"
"CT320303","PENT ROAD BEACH","CT","NEW HAVEN","66","73","90.41","B-","39","42","92.86","B","27","31","87.1","C+"
"CT351834","WOODMONT BEACH","CT","NEW HAVEN","68","70","97.14","A","49","49","100.0","A+","19","21","90.48","B-"
"CT386314","SURF CLUB BEACH","CT","NEW HAVEN","141","144","97.92","A","81","82","98.78","A","60","62","96.77","A-"
"CT400424","ANCHOR BEACH (MERWIN POINT) #2","CT","NEW HAVEN","69","71","97.18","A","50","50","100.0","A+","19","21","90.48","B-"
"CT409818","CLARK AVENUE BEACH","CT","NEW HAVEN","169","203","83.25","C-","118","134","88.06","C+","51","69","73.91","F"
"CT473427","ALTSCHULER BEACH","CT","NEW HAVEN","102","113","90.27","B-","71","78","91.03","B","31","35","88.57","C+"
"CT555601","MORSE BEACH","CT","NEW HAVEN","83","87","95.4","A-","57","59","96.61","A-","26","28","92.86","B"
"CT597147","SEABLUFF BEACH","CT","NEW HAVEN","96","121","79.34","D","71","83","85.54","C","25","38","65.79","F"
"CT760987","LIGHTHOUSE POINT BEACH","CT","NEW HAVEN","482","519","92.87","B","353","382","92.41","B","129","137","94.16","B+"
"CT816057","OAK STREET B BEACH","CT","NEW HAVEN","100","115","86.96","C","70","79","88.61","C+","30","36","83.33","C-"
"CT857174","WALNUT BEACH","CT","NEW HAVEN","139","150","92.67","B","94","98","95.92","A-","45","52","86.54","C"
"CT910056","GULF BEACH","CT","NEW HAVEN","65","70","92.86","B","44","44","100.0","A+","21","26","80.77","D"
"CT914597","ROCK STREET BEACH","CT","NEW HAVEN","83","91","91.21","B","55","59","93.22","B+","28","32","87.5","C+"
"CT946887","FORT HALE PARK BEACH","CT","NEW HAVEN","325","355","91.55","B","235","255","92.16","B","90","100","90.0","B-"
"CT964700","HAMMONASSET BEACH STATE PARK BEACH","CT","NEW HAVEN","0","0","","","0","0","","","0","0","",""
"CT974464","ANCHOR BEACH (MERWIN POINT) #1","CT","NEW HAVEN","67","74","90.54","B-","48","51","94.12","B+","19","23","82.61","D+"
"CT079164","PLEASURE BEACH","CT","NEW LONDON","71","71","100.0","A+","55","55","100.0","A+","16","16","100.0","A+"
"CT103938","HOLE-IN-THE-WALL BEACH","CT","NEW LONDON","74","81","91.36","B","59","65","90.77","B-","15","16","93.75","B+"
"CT110195","NOANK DOCK","CT","NEW LONDON","72","73","98.63","A","55","56","98.21","A","17","17","100.0","A+"
"CT120292","MCCOOK POINT BEACH","CT","NEW LONDON","74","76","97.37","A","59","60","98.33","A","15","16","93.75","B+"
"CT207829","ROCKY NECK STATE PARK BEACH","CT","NEW LONDON","0","0","","","0","0","","","0","0","",""
"CT282823","WHITE SANDS BEACH","CT","NEW LONDON","60","63","95.24","A-","49","50","98.0","A","11","13","84.62","C-"
"CT340493","DUBOIS BEACH","CT","NEW LONDON","0","0","","","0","0","","","0","0","",""
"CT407959","OCEAN BEACH PARK","CT","NEW LONDON","157","169","92.9","B","124","131","94.66","B+","33","38","86.84","C"
"CT434367","ESKER POINT BEACH","CT","NEW LONDON","70","77","90.91","B-","55","60","91.67","B","15","17","88.24","C+"
"CT493837","SOUNDVIEW BEACH","CT","NEW LONDON","61","63","96.83","A-","50","50","100.0","A+","11","13","84.62","C-"
"CT496693","GREEN HARBOR BEACH","CT","NEW LONDON","76","109","69.72","F","63","86","73.26","F","13","23","56.52","F"
"CT685151","WATERFORD TOWN BEACH","CT","NEW LONDON","103","107","96.26","A-","81","83","97.59","A","22","24","91.67","B"
"CT705857","EASTERN POINT BEACH","CT","NEW LONDON","81","87","93.1","B+","67","70","95.71","A-","14","17","82.35","D+"
"NY176548","WEST FORDHAM STREET ASSOCIATION","NY","BRONX","293","324","90.43","B-","209","228","91.67","B","84","96","87.5","C+"
"NY182382","TRINITY DANISH YOUNG PEOPLE'S SOCIETY","NY","BRONX","254","303","83.83","C-","200","216","92.59","B","54","87","62.07","F"
"NY300205","LOCUST POINT YACHT CLUB","NY","BRONX","286","297","96.3","A-","206","210","98.1","A","80","87","91.95","B"
"NY388768","WHITE CROSS FISHING CLUB","NY","BRONX","259","315","82.22","D+","192","216","88.89","C+","67","99","67.68","F"
"NY417062","SCHUYLER HILL CIVIC ASSOCIATION","NY","BRONX","287","300","95.67","A-","208","213","97.65","A","79","87","90.8","B-"
"NY549702","MORRIS YACHT AND BEACH CLUB","NY","BRONX","304","330","92.12","B","213","231","92.21","B","91","99","91.92","B"
"NY582799","DANISH AMERICAN BEACH CLUB","NY","BRONX","277","315","87.94","C+","199","216","92.13","B","78","99","78.79","D-"
"NY617089","AMERICAN TURNERS","NY","BRONX","257","315","81.59","D+","197","216","91.2","B","60","99","60.61","F"
"NY817429","ORCHARD BEACH","NY","BRONX","289","297","97.31","A","206","213","96.71","A-","83","84","98.81","A"
"NY818686","MANHEM BEACH CLUB","NY","BRONX","275","309","89.0","B-","198","210","94.29","B+","77","99","77.78","D-"
"NY159820","INC. VILLAGE OF LAUREL HOLLOW","NY","NASSAU","324","387","83.72","C-","263","304","86.51","C","61","83","73.49","F"
