"Year","SiteID","Site Name","State","County","Total Number of Passing Samples","Number of Samples","Percent Pass All Samples","Grade All Samples","Dry Weather Passing Samples","Total Dry Weather Samples","Percent Pass Dry Samples","Grade Dry Samples","Wet Weather Passing Samples","Total Wet Weather Samples","Percent Pass Wet Samples","Grade Wet Samples"
"2003","CT003939","CALF PASTURE BEACH","CT","FAIRFIELD","0","0","","","0","0","","","0","0","",""
"2004","CT003939","CALF PASTURE BEACH","CT","FAIRFIELD","0","0","","","0","0","","","0","0","",""
"2005","CT003939","CALF PASTURE BEACH","CT","FAIRFIELD","0","0","","","0","0","","","0","0","",""
"2006","CT003939","CALF PASTURE BEACH","CT","FAIRFIELD","0","0","","","0","0","","","0","0","",""
"2007","CT003939","CALF PASTURE BEACH","CT","FAIRFIELD","0","0","","","0","0","","","0","0","",""
"2008","CT003939","CALF PASTURE BEACH","CT","FAIRFIELD","0","0","","","0","0","","","0","0","",""
"2009","CT003939","CALF PASTURE BEACH","CT","FAIRFIELD","45","51","88.24","C+","31","36","86.11","C","14","15","93.33","B+"
"2010","CT003939","CALF PASTURE BEACH","CT","FAIRFIELD","52","59","88.14","C+","30","31","96.77","A-","22","28","78.57","D-"
"2011","CT003939","CALF PASTURE BEACH","CT","FAIRFIELD","42","45","93.33","B+","24","27","88.89","C+","18","18","100.0","A+"
"2012","CT003939","CALF PASTURE BEACH","CT","FAIRFIELD","50","62","80.65","D","32","38","84.21","C-","18","24","75.0","F"
"2013","CT003939","CALF PASTURE BEACH","CT","FAIRFIELD","48","51","94.12","B+","27","30","90.0","B-","21","21","100.0","A+"
"2014","CT003939","CALF PASTURE BEACH","CT","FAIRFIELD","51","59","86.44","C","32","38","84.21","C-","19","21","90.48","B-"
"2003","CT010924","HICKORY BLUFF BEACH","CT","FAIRFIELD","0","0","","","0","0","","","0","0","",""
"2004","CT010924","HICKORY BLUFF BEACH","CT","FAIRFIELD","0","0","","","0","0","","","0","0","",""
"2005","CT010924","HICKORY BLUFF BEACH","CT","FAIRFIELD","0","0","","","0","0","","","0","0","",""
"2006","CT010924","HICKORY BLUFF BEACH","CT","FAIRFIELD","0","0","","","0","0","","","0","0","",""
"2007","CT010924","HICKORY BLUFF BEACH","CT","FAIRFIELD","0","0","","","0","0","","","0","0","",""
"2008","CT010924","HICKORY BLUFF BEACH","CT","FAIRFIELD","0","0","","","0","0","","","0","0","",""
"2009","CT010924","HICKORY BLUFF BEACH","CT","FAIRFIELD","16","17","94.12","B+","12","12","100.0","A+","4","5","80.0","D"
"2010","CT010924","HICKORY BLUFF BEACH","CT","FAIRFIELD","15","15","100.0","A+","12","12","100.0","A+","3","3","100.0","A+"
"2011","CT010924","HICKORY BLUFF BEACH","CT","FAIRFIELD","14","15","93.33","B+","7","7","100.0","A+","7","8","87.5","C+"
"2012","CT010924","HICKORY BLUFF BEACH","CT","FAIRFIELD","13","15","86.67","C","7","8","87.5","C+","6","7","85.71","C"
"2013","CT010924","HICKORY BLUFF BEACH","CT","FAIRFIELD","16","16","100.0","A+","10","10","100.0","A+","6","6","100.0","A+"
"2014","CT010924","HICKORY BLUFF BEACH","CT","FAIRFIELD","15","15","100.0","A+","10","10","100.0","A+","5","5","100.0","A+"
"2003","CT022992","SHADY BEACH","CT","FAIRFIELD","0","0","","","0","0","","","0","0","",""
"2004","CT022992","SHADY BEACH","CT","FAIRFIELD","0","0","","","0","0","","","0","0","",""
"2005","CT022992","SHADY BEACH","CT","FAIRFIELD","0","0","","","0","0","","","0","0","",""
"2006","CT022992","SHADY BEACH","CT","FAIRFIELD","0","0","","","0","0","","","0","0","",""
"2007","CT022992","SHADY BEACH","CT","FAIRFIELD","0","0","","","0","0","","","0","0","",""
"2008","CT022992","SHADY BEACH","CT","FAIRFIELD","0","0","","","0","0","","","0","0","",""
"2009","CT022992","SHADY BEACH","CT","FAIRFIELD","64","68","94.12","B+","45","49","91.84","B","19","19","100.0","A+"
"2010","CT022992","SHADY BEACH","CT","FAIRFIELD","64","84","76.19","F","37","44","84.09","C-","27","40","67.5","F"
"2011","CT022992","SHADY BEACH","CT","FAIRFIELD","55","68","80.88","D","31","44","70.45","F","24","24","100.0","A+"
"2012","CT022992","SHADY BEACH","CT","FAIRFIELD","59","67","88.06","C+","34","39","87.18","C+","25","28","89.29","B-"
"2013","CT022992","SHADY BEACH","CT","FAIRFIELD","65","68","95.59","A-","37","40","92.5","B","28","28","100.0","A+"
"2014","CT022992","SHADY BEACH","CT","FAIRFIELD","64","73","87.67","C+","40","45","88.89","C+","24","28","85.71","C"
"2003","CT023928","MARVIN BEACH","CT","FAIRFIELD","0","0","","","0","0","","","0","0","",""
"2004","CT023928","MARVIN BEACH","CT","FAIRFIELD","0","0","","","0","0","","","0","0","",""
"2005","CT023928","MARVIN BEACH","CT","FAIRFIELD","0","0","","","0","0","","","0","0","",""
"2006","CT023928","MARVIN BEACH","CT","FAIRFIELD","0","0","","","0","0","","","0","0","",""
"2007","CT023928","MARVIN BEACH","CT","FAIRFIELD","0","0","","","0","0","","","0","0","",""
"2008","CT023928","MARVIN BEACH","CT","FAIRFIELD","0","0","","","0","0","","","0","0","",""
"2009","CT023928","MARVIN BEACH","CT","FAIRFIELD","15","18","83.33","C-","12","13","92.31","B","3","5","60.0","F"
"2010","CT023928","MARVIN BEACH","CT","FAIRFIELD","16","18","88.89","C+","12","13","92.31","B","4","5","80.0","D"
"2011","CT023928","MARVIN BEACH","CT","FAIRFIELD","14","17","82.35","D+","7","7","100.0","A+","7","10","70.0","F"
"2012","CT023928","MARVIN BEACH","CT","FAIRFIELD","14","17","82.35","D+","7","10","70.0","F","7","7","100.0","A+"
"2013","CT023928","MARVIN BEACH","CT","FAIRFIELD","16","16","100.0","A+","10","10","100.0","A+","6","6","100.0","A+"
"2014","CT023928","MARVIN BEACH","CT","FAIRFIELD","15","17","88.24","C+","10","11","90.91","B-","5","6","83.33","C-"
"2003","CT046814","SHORT BEACH","CT","FAIRFIELD","36","38","94.74","B+","10","12","83.33","C-","26","26","100.0","A+"
"2004","CT046814","SHORT BEACH","CT","FAIRFIELD","50","51","98.04","A","38","38","100.0","A+","12","13","92.31","B"
"2005","CT046814","SHORT BEACH","CT","FAIRFIELD","43","46","93.48","B+","34","37","91.89","B","9","9","100.0","A+"
"2006","CT046814","SHORT BEACH","CT","FAIRFIELD","40","44","90.91","B-","31","32","96.88","A-","9","12","75.0","F"
"2007","CT046814","SHORT BEACH","CT","FAIRFIELD","40","40","100.0","A+","27","27","100.0","A+","13","13","100.0","A+"
"2008","CT046814","SHORT BEACH","CT","FAIRFIELD","40","44","90.91","B-","24","25","96.0","A-","16","19","84.21","C-"
"2009","CT046814","SHORT BEACH","CT","FAIRFIELD","47","48","97.92","A","31","32","96.88","A-","16","16","100.0","A+"
"2010","CT046814","SHORT BEACH","CT","FAIRFIELD","39","48","81.25","D+","24","26","92.31","B","15","22","68.18","F"
"2011","CT046814","SHORT BEACH","CT","FAIRFIELD","35","48","72.92","F","17","22","77.27","D-","18","26","69.23","F"
"2012","CT046814","SHORT BEACH","CT","FAIRFIELD","49","49","100.0","A+","28","28","100.0","A+","21","21","100.0","A+"
"2013","CT046814","SHORT BEACH","CT","FAIRFIELD","43","44","97.73","A","29","30","96.67","A-","14","14","100.0","A+"
"2014","CT046814","SHORT BEACH","CT","FAIRFIELD","42","45","93.33","B+","33","36","91.67","B","9","9","100.0","A+"
"2003","CT080788","PENFIELD BEACH","CT","FAIRFIELD","28","29","96.55","A-","11","11","100.0","A+","17","18","94.44","B+"
"2004","CT080788","PENFIELD BEACH","CT","FAIRFIELD","31","31","100.0","A+","23","23","100.0","A+","8","8","100.0","A+"
"2005","CT080788","PENFIELD BEACH","CT","FAIRFIELD","27","27","100.0","A+","21","21","100.0","A+","6","6","100.0","A+"
"2006","CT080788","PENFIELD BEACH","CT","FAIRFIELD","28","28","100.0","A+","24","24","100.0","A+","4","4","100.0","A+"
"2007","CT080788","PENFIELD BEACH","CT","FAIRFIELD","29","31","93.55","B+","21","21","100.0","A+","8","10","80.0","D"
"2008","CT080788","PENFIELD BEACH","CT","FAIRFIELD","30","31","96.77","A-","20","20","100.0","A+","10","11","90.91","B-"
"2009","CT080788","PENFIELD BEACH","CT","FAIRFIELD","31","31","100.0","A+","21","21","100.0","A+","10","10","100.0","A+"
"2010","CT080788","PENFIELD BEACH","CT","FAIRFIELD","30","33","90.91","B-","20","21","95.24","A-","10","12","83.33","C-"
"2011","CT080788","PENFIELD BEACH","CT","FAIRFIELD","32","35","91.43","B","14","17","82.35","D+","18","18","100.0","A+"
"2012","CT080788","PENFIELD BEACH","CT","FAIRFIELD","30","36","83.33","C-","20","22","90.91","B-","10","14","71.43","F"
"2013","CT080788","PENFIELD BEACH","CT","FAIRFIELD","28","30","93.33","B+","21","22","95.45","A-","7","8","87.5","C+"
"2014","CT080788","PENFIELD BEACH","CT","FAIRFIELD","32","32","100.0","A+","24","24","100.0","A+","8","8","100.0","A+"
"2003","CT085278","EAST (COVE ISLAND) BEACH","CT","FAIRFIELD","0","0","","","0","0","","","0","0","",""
"2004","CT085278","EAST (COVE ISLAND) BEACH","CT","FAIRFIELD","0","0","","","0","0","","","0","0","",""
